Timestamp(ms);LG-Accel x(g);LG-Accel y(g);LG-Accel z(g);HG-Accel x(g);HG-Accel y(g);HG-Accel z(g);Gyro x(dps);Gyro y(dps);Gyro z(dps)
81;0.0;0.0;0.0;0.18544000387191772;-0.13371199369430542;1.1555839776992798;0.0;0.0;0.0
83;0.0;0.0;0.0;0.17763200402259827;-0.14151999354362488;1.1516799926757812;0.0;0.0;0.0
85;0.0;0.0;0.0;0.20495998859405518;-0.16884799301624298;1.1350879669189453;0.0;0.0;0.0
88;0.0;0.0;0.0;0.18934398889541626;-0.16884799301624298;1.1477760076522827;0.0;0.0;0.0
90;0.0;0.0;0.0;0.20203199982643127;-0.16494399309158325;1.1272799968719482;0.0;0.0;0.0
92;0.0;0.0;0.0;0.2000799924135208;-0.1668960005044937;1.140944004058838;0.0;0.0;0.0
94;0.0;0.0;0.0;0.16103999316692352;-0.14347200095653534;1.148751974105835;0.0;0.0;0.0
96;0.0;0.0;0.0;0.19227199256420135;-0.1395680010318756;1.1448479890823364;0.0;0.0;0.0
98;0.08735200017690659;-0.018543999642133713;0.98990797996521;0.17665599286556244;-0.1668960005044937;1.1526559591293335;0.0;0.0;0.0
100;0.0;0.0;0.0;0.20788799226284027;-0.15908800065517426;1.132159948348999;0.0;0.0;0.0
102;0.0;0.0;0.0;0.2235039919614792;-0.15518400073051453;1.1448479890823364;0.0;0.0;0.0
105;0.0;0.0;0.0;0.1727519929409027;-0.18641600012779236;1.132159948348999;0.0;0.0;0.0
107;0.08881600201129913;-0.018055999651551247;0.9874680042266846;0.18055999279022217;-0.1239520013332367;1.132159948348999;0.0;0.0;0.0
109;0.0;0.0;0.0;0.21959999203681946;-0.13176000118255615;1.140944004058838;0.0;0.0;0.0
111;0.0;0.0;0.0;0.1727519929409027;-0.17080000042915344;1.1204479932785034;0.0;0.0;0.0
113;0.0;0.0;0.0;0.2000799924135208;-0.1239520013332367;1.132159948348999;0.0;0.0;0.0
115;0.08564399927854538;-0.02000799961388111;0.9906399846076965;0.20788799226284027;-0.14347200095653534;1.148751974105835;0.0;0.0;0.0
117;0.0;0.0;0.0;0.2000799924135208;-0.15908800065517426;1.1448479890823364;0.0;0.0;0.0
120;0.0;0.0;0.0;0.19227199256420135;-0.17080000042915344;1.1126400232315063;0.0;0.0;0.0
122;0.0;0.0;0.0;0.18836799263954163;-0.14347200095653534;1.1360639333724976;0.0;0.0;0.0
